Name                                             Stmts   Miss  Cover
--------------------------------------------------------------------
src\bridge\resources\ramic_bridge_daemon_3.py      316    102    68%
src\bridge\resources\ramic_bridge_daemon_27.py     311     99    68%
src\pyapi\__init__.py                                2      0   100%
src\pyapi\models.py                                 50      1    98%
src\server\__init__.py                               8      0   100%
src\server\registration_server.py                  128     18    86%
src\transport\__init__.py                            3      0   100%
src\transport\deploy.py                             67     10    85%
src\transport\middle.py                            154      6    96%
src\transport\paramiko_backend.py                  760    284    63%
src\transport\register\__init__.py                   3      0   100%
src\transport\register\flow.py                     343     23    93%
src\transport\register\models.py                    88      2    98%
src\transport\register\probe.py                    143     26    82%
src\transport\registry.py                          151      4    97%
src\transport\remote_paths.py                       27      0   100%
src\transport\remote_roles.py                       31      0   100%
src\transport\runtime_paths.py                      34      3    91%
src\transport\setup.py                               5      0   100%
src\transport\skill_client.py                       79      1    99%
src\transport\ssh.py                               921    302    67%
src\transport\transfer.py                          152      3    98%
src\transport\tunnel.py                            126      4    97%
--------------------------------------------------------------------
TOTAL                                             3902    888    77%

2 empty files skipped.
